code,name,network_id,network_region,description,npi_id,lat,lng,created_at,updated_at
ADP,Adelaide Desalination,NEM,SA1,"<p>The Adelaide Desalination plant (ADP), formerly known as the Port Stanvac Desalination Plant, is a sea water reverse osmosis desalination plant located in Lonsdale, South Australia which has the capacity to provide the city of Adelaide with up to 50% of its drinking water needs.</p>",NA,-35.096948,138.484061,2023-10-18 04:34:30+00:00,2025-08-05 06:08:12+00:00
ALDGASF,Aldoga,NEM,QLD1,"<p>The Aldoga Solar Farm will be approximately 380MW. This solar photovoltaic (PV) facility is located approximately 20 km north-west of Gladstone on the central Queensland coast.</p><p>The Aldoga Solar Farm will deliver a flagship renewable energy project on Economic Development Queensland (EDQ) land as part of the Queensland Government’s <em>'Advancing our cities and regions strategy’</em>, which aims to renew and repurpose underutilised state land to generate jobs and drive economic growth.</p>",NA,-23.839544,151.0849,2025-01-31 04:19:33+00:00,2025-03-25 00:52:44+00:00
AMCORGR,Amcor Glass,NEM,SA1,<p></p>,NA,-34.882663,138.577975,2023-10-18 04:34:32+00:00,2023-10-18 04:34:32+00:00
ANGASTON,Angaston,NEM,SA1,"<p>Angaston Power Station is a diesel-powered electricity generator in the Barossa Valley region of South Australia near the town of Angaston. It is owned and operated by Snowy Hydro since 2014. It consists of 30 diesel reciprocating engines generating up to 50 MW of electricity to meet peak demands in the National Electricity Market.The power station was designed and built by Cummins Power Generation under contract from Infratil in 2005. At the time, it was Australia&#x27;s largest and lowest-emission diesel power station. It achieves the low emissions through selective catalytic reduction technology, spraying urea into the exhaust.Snowy Hydro bought assets from Infratil in 2014. These included Lumo Energy, Direct Connect and three diesel peaking generators for a total of 136 MW. The other two were Lonsdale Power Station and Port Stanvac Power Station.</p>",NA,-34.503948,139.024296,2023-10-18 04:34:32+00:00,2025-09-07 01:53:13+00:00
APS,Anglesea,NEM,VIC1,"<p>The Anglesea Power Station was a brown coal–powered thermal power station located at Anglesea, in Victoria, Australia. The station had one steam turbine, with a capacity of 150 megawatts. It was operated by Alcoa of Australia and supplied almost 40% of the electricity used by the company&#x27;s Point Henry aluminium smelter, until the smelter&#x27;s closure in August 2014.</p>",NA,-38.389031,144.180589,2023-10-18 04:34:32+00:00,2024-11-04 00:41:34+00:00
APPIN,Appin,NEM,NSW1,"<p>In a world first, EDL developed the largest WCMG power station at Appin that captured drained WCMG and also directly used a portion of the methane present as combustion air in the generator sets, further reducing the mine’s greenhouse gas (GHG) emissions.</p>",NA,-34.210868,150.792711,2023-10-18 04:34:32+00:00,2025-09-07 01:53:15+00:00
ARWF,Ararat,NEM,VIC1,"<p>Ararat Wind Farm is wind farm in western Victoria, Australia. It was officially opened on 27 June 2017 and was the third-largest wind farm in Australia at that time, with capacity to generate 240MW from 75 turbines.Of the 75 turbines, 70 are in the Rural City of Ararat and five are in the Shire of Northern Grampians.</p>",NA,-37.263393,143.082116,2023-10-18 04:34:32+00:00,2025-07-08 03:42:06+00:00
AVLSF,Avonlie,NEM,NSW1,"<p>The Avonlie Solar Farm will be a large-scale solar farm in Narrandera, New South Wales. The project will comprise more than 450,000 solar panels with a total energy capacity of up to roughly 245MW(DC).</p>",NA,-34.919115,146.60954,2023-10-18 04:34:32+00:00,2025-07-08 02:56:03+00:00
AWABAREF,Awaba,NEM,NSW1,<p></p>,NA,-33.023339,151.551228,2023-10-18 04:34:32+00:00,2025-09-07 01:53:18+00:00
DEIBDL,Bairnsdale,NEM,VIC1,"<p>Bairnsdale Power Station is a 94 megawatts (126,000 hp) natural gas-fired power station in Victoria’s East Gippsland region, owned and operated by Alinta Energy. It is a fast start, peaking power station dispatching into the National Electricity Market. Bairnsdale Power Station is connected to the AusNet Services distribution network grid.<br/>The station was commissioned in 2001. It has two GE LM6000PD gas turbines.</p>",NA,-37.842231,147.563725,2023-10-18 04:34:49+00:00,2025-09-07 01:53:52+00:00
BAKING,Baking Board,NEM,QLD1,"<p>The Impact Investment Group’s Chinchilla Solar Farm is located approximately 7 km northwest of Chinchilla in the Western Downs shire of southeast Queensland. Located on 73 ha of land it has approximately 61,000 panels mounted on a single axis tracking system.</p>",NA,-26.721166,150.55417,2023-10-18 04:34:33+00:00,2025-08-05 06:38:31+00:00
BHWF,Bald Hills,NEM,VIC1,"<p>The Bald Hills Wind Farm is an operating wind farm located approximately 10 km south east of Tarwin Lower in South Gippsland, Victoria, Australia.  The Bald Hills Wind Farm site covers approximately 1,750ha of largely cleared cattle and sheep grazing farmland. The turbines are located in three distinct areas, one to the west and one to the east of Tarwin Lower Waratah Road, and one near the end of Bald Hills Road.</p>",NA,-38.758189,145.956062,2023-10-18 04:34:36+00:00,2025-07-08 04:55:59+00:00
BALBESS,Ballarat,NEM,VIC1,"<p>Ballarat Energy Storage System (BESS) is a grid-connected energy storage system connected to the Ballarat Area Terminal Substation in Warrenheip, a suburb pf Ballarat in Victoria. It was commissioned in 2018 and provides 30 MWh of storage capacity at 30 MW. The battery was developed by NuvoGroup (owned by Spotless). Fluence provided the batteries, AusNet Services owns the facility, which is operated by EnergyAustralia. Funding was provided by AusNet Services and Australian Renewable Energy Agency (ARENA).The system consists of nine units each of which contains Lithium-ion batteries along with cooling and safety systems.</p>",NA,-37.567452,143.852741,2023-10-18 04:34:33+00:00,2025-09-15 01:58:30+00:00
BBASEHOS,Ballarat Hospital,NEM,VIC1,<p></p>,NA,-37.558774,143.847247,2023-10-18 04:34:35+00:00,2025-09-07 01:53:23+00:00
BANGOWF,Bango,NEM,NSW1,"<p>Bango Wind Farm is a development of 46 wind turbines and associated infrastructure on agricultural land approximately 30 km north of Yass, NSW. The site is well suited to wind generation due to its reliable wind resource, low density of rural residential dwellings and proximity to existing transmission infrastructure.</p>",NA,-34.767208,148.921499,2023-10-18 04:34:33+00:00,2025-07-08 02:57:24+00:00
BAPS,Banimboola,NEM,VIC1,"<p>Banimboola Power Station is a hydroelectric power station on the Dartmouth Dam Regulating Pond (or Banimboola Pondage), downstream of Dartmouth Dam on the Mitta Mitta River in Victoria, Australia. Banimboola has three turbo generators, with a generating capacity of 12.2 megawatts (16,360 hp) of electricity.  It is owned and operated by AGL Energy.</p>",NA,-36.534524,147.459788,2023-10-18 04:34:33+00:00,2025-08-05 07:01:18+00:00
BANKSPT,Bankstown Sports Club,NEM,NSW1,<p></p>,NA,-33.919998,151.033742,2023-10-18 04:34:33+00:00,2023-10-18 04:34:33+00:00
BANNSP,Bannerton,NEM,VIC1,"<p>The Bannerton Solar Park is a solar power station in the locality of Bannerton southeast of Robinvale in the Sunraysia district of Victoria. It generates up to 88MW of electricity to the National Electricity Market (NEM).<br/>Bannerton Solar Park is the second solar farm to be funded by the Clean Energy Finance Corporation (after the Gannawarra Solar Farm). It uses 320,000 solar panels to generate 110MWDC/88MWAC of electricity. It has offtake agreements with Alinta Energy and Yarra Trams.CIMIC Group company UGL Limited designed and built the solar farm, including  single axis tracking system, substation and connection to the Powercor Australia grid. It is built on land unsuitable for Almond orchards.Bannerton is near the edge of the Victorian electricity grid. The Solar Farm exports electricity at 66kV into the distribution network to support the local grid in responding to the load imposed from irrigation in summer.</p>",NA,-34.67263,142.750362,2023-10-18 04:34:33+00:00,2025-07-08 05:17:18+00:00
BARCALDN,Barcaldine,NEM,QLD1,"<p>The Barcaldine Power Station is a combined-cycle power station in Barcaldine, Queensland.  Its NEMMCO registered capacity as of January 2009 was 55 MW.<br/>According to the Geoscience Australia database, it is also known as the Len Wishaw power station and consists of a 38 MW gas turbine and a 15MW steam turbine.  The steam turbine at the power station is to be taken offline.The power station was built by Energy Equity Corporation, with the gas turbine being completed in 1995 and the steam turbine added in 1999.  The station had originally been planned for Blackall.  Enertrade acquired the station and associated gas pipeline in June 2003.  With the dissolution of Enertrade in May 2007, the station and pipeline were acquired by Ergon Energy Queensland Pty Ltd.</p>",NA,-23.552171,145.314851,2023-10-18 04:34:33+00:00,2025-09-07 01:53:20+00:00
BARCSF,Barcaldine,NEM,QLD1,"<p>The Barcaldine Solar Farm is a solar farm located five kilometres east of the town of Barcaldine in Central Queensland, Australia. The power station is owned by Elecnor and is situated on a 90 hectare site. It will use single-axis tracking technology. The power station can generate 20 megawatts AC. It consists of 78,000 panels.<br/><br/>Power was supplied to the grid in December 2016. It was Queensland&#x27;s first large scale solar farm.</p>",NA,-23.547333,145.318972,2023-10-18 04:34:33+00:00,2025-07-08 06:03:12+00:00
BARKIPS,Barker Inlet,NEM,SA1,<p>Barker Inlet Power Station is a power station in South Australia. It was announced on 7 June 2017 by AGL Energy to replace part of its ageing Torrens Island Power Station and was built alongside the existing station on Torrens Island in the northwestern suburbs of Adelaide. The power station was commissioned on 4 November 2019.</p>,NA,-34.804,138.524,2023-10-18 04:34:33+00:00,2025-07-08 03:49:11+00:00
BARRON,Barron Gorge,NEM,QLD1,"<p>The Barron Gorge Hydroelectric Power Station (or Barron Gorge Hydro) in Queensland, Australia is an electricity power station commissioned in 1963 with a maximum capacity of 66 megawatts (89,000 hp). It is located in the locality of Barron Gorge in the Wet Tropics World Heritage Area 20 kilometres (12 mi) north-west of Cairns. It replaced an earlier station which was the first underground power station in the country and the first hydroelectric station in Queensland. The power station was refurbished in 2006.</p>",NA,-16.85077,145.647049,2023-10-18 04:34:33+00:00,2025-07-08 05:44:27+00:00
BASTYAN,Bastyan,NEM,TAS1,"<p>The Bastyan Power Station is a conventional hydroelectric power station located in Western Tasmania, Australia.</p>",NA,-41.736231,145.531589,2023-10-18 04:34:35+00:00,2025-07-08 05:25:22+00:00
BAYSW,Bayswater,NEM,NSW1,"<p>Bayswater Power Station is a bituminous (black) coal-powered thermal power station with four 660 megawatts (890,000 hp) Tokyo Shibaura Electric (Japan) steam driven turbo alternators for a combined capacity of 2,640 megawatts (3,540,000 hp). Commissioned between 1985 and 1986, the station is located 16 kilometres (10 mi) from Muswellbrook, and 28 km (17 mi) from Singleton in the Hunter Region of New South Wales, Australia.<br/>Prior to September 2014 Bayswater Power Station was part of NSW Government power producer, Macquarie Generation.  Macquarie Generation was acquired by AGL Energy in September 2014.</p>",NA,-32.393502,150.953963,2023-10-18 04:34:35+00:00,2025-09-07 01:53:22+00:00
BBDISEL1,Bell Bay,NEM,TAS1,<p></p>,NA,-41.127009,146.874083,2023-10-18 04:34:35+00:00,2025-09-07 01:53:24+00:00
