facility_code,unit_code,fueltech_id,status_id,capacity_registered,capacity_maximum,capacity_storage,emissions_factor_co2,data_first_seen,data_last_seen,dispatch_type,commencement_date,commencement_date_specificity,commencement_date_display,closure_date,closure_date_specificity,closure_date_display,expected_operation_date,expected_operation_date_specificity,expected_operation_date_display,expected_closure_date,expected_closure_date_specificity,expected_closure_date_display,construction_start_date,construction_start_date_specificity,construction_start_date_display,project_approval_date,project_approval_date_specificity,project_approval_date_display,project_lodgement_date,created_at,updated_at
ADP,ADPPV1,solar_utility,operating,24.75,19.0,NA,NA,2021-05-18 13:10:00+10:00,2025-11-01 12:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:34:30+00:00,2024-12-16 23:52:12+00:00
ADP,ADPPV2,solar_utility,operating,0.2,0.2,NA,NA,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:34:30+00:00,2024-12-16 23:50:10+00:00
ADP,ADPPV3,solar_utility,operating,0.02,0.02,NA,NA,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:34:30+00:00,2024-12-16 23:51:11+00:00
ADP,ADPBA1G,battery_discharging,operating,7.76,6.15,12.6,NA,2021-05-18 10:55:00+10:00,2025-11-01 12:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:34:30+00:00,2025-06-23 05:34:25+00:00
ADP,ADPBA1L,battery_charging,operating,7.76,6.15,12.6,NA,2021-05-18 09:55:00+10:00,2025-11-01 12:30:00+10:00,LOAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:34:30+00:00,2025-06-23 05:34:16+00:00
ADP,ADPBA1,battery,operating,7.76,6.15,12.6,NA,2024-09-18 10:40:00+10:00,2025-11-01 12:35:00+10:00,BIDIRECTIONAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-10-13 04:24:08+00:00,2024-12-16 23:52:40+00:00
ALDGASF,ALDGASF1,solar_utility,operating,535.21,387.0,NA,NA,2025-03-21 15:05:00+10:00,2025-11-01 12:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-01-31 04:28:09+00:00,2025-05-01 03:43:29+00:00
AMCORGR,AMCORGR,distillate,retired,4.0,NA,NA,0.9,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:34:32+00:00,2024-11-25 04:11:55+00:00
ANGASTON,ANGAS1,distillate,retired,30.0,NA,NA,1.0136,2005-01-06 11:10:00+10:00,2016-05-23 09:05:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:34:32+00:00,2025-06-23 07:01:29+00:00
ANGASTON,ANGAS2,distillate,retired,20.0,NA,NA,1.0136,2005-01-06 11:10:00+10:00,2016-05-23 09:05:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:34:32+00:00,2024-11-24 22:50:38+00:00
